1* Populacao:
Cromossomos: [265, 13, 10, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [366, 11, 2, 1, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [123, 9, 6, 4, 0] -> Acuracia: 75.6%, Precisao: 76.9%, Recall: 80.0%, Performance: 78.5%
Cromossomos: [202, 19, 10, 4, 0] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [265, 17, 10, 3, 1] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [184, 13, 2, 5, 0] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 19, 10, 5, 0] -> Acuracia: 75.6%, Precisao: 76.9%, Recall: 80.0%, Performance: 78.5%
Cromossomos: [363, 19, 5, 4, 0] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [157, 13, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%

Melhores Cromossomos: [265, 13, 10, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%

2* Populacao:
Cromossomos: [123, 11, 2, 1, 0] -> Acuracia: 77.8%, Precisao: 77.8%, Recall: 84.0%, Performance: 81.3%
Cromossomos: [366, 9, 6, 4, 0] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomos: [363, 5, 10, 4, 0] -> Acuracia: 73.3%, Precisao: 76.0%, Recall: 76.0%, Performance: 75.6%
Cromossomos: [202, 19, 10, 5, 0] -> Acuracia: 73.3%, Precisao: 76.0%, Recall: 76.0%, Performance: 75.6%
Cromossomos: [123, 11, 9, 1, 0] -> Acuracia: 77.8%, Precisao: 77.8%, Recall: 84.0%, Performance: 81.3%
Cromossomos: [236, 13, 5, 3, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [366, 11, 2, 4, 0] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomos: [363, 19, 5, 1, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [157, 13, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

Melhores Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

3* Populacao:
Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 78.6%, Recall: 88.0%, Performance: 84.2%
Cromossomos: [157, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [123, 11, 2, 1, 1] -> Acuracia: 80.0%, Precisao: 78.6%, Recall: 88.0%, Performance: 84.2%
Cromossomos: [157, 13, 5, 1, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [123, 11, 9, 1, 0] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [123, 8, 2, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 19, 5, 1, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 12, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [236, 13, 5, 1, 1] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [123, 13, 5, 3, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

Melhores Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

4* Populacao:
Cromossomos: [123, 19, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 13, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 19, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [204, 11, 2, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [236, 13, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 19, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 19, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 19, 5, 1, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [123, 11, 9, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [123, 11, 2, 3, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%

Melhores Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

5* Populacao:
