iter	Logloss
0	0.5581471514
1	0.4773625635
2	0.4288977311
3	0.4017767816
4	0.3841679607
5	0.372507728
6	0.3653184273
7	0.3577691399
8	0.3542538981
9	0.3502792038
10	0.3471730457
11	0.3455706273
12	0.3427804007
13	0.3414022829
14	0.3401978725
15	0.3386832463
16	0.3379310256
17	0.3367314985
18	0.3361217579
19	0.3352867437
20	0.334059336
21	0.3332102402
22	0.332713936
23	0.3323212132
24	0.3316000464
25	0.3308618167
26	0.3300105939
27	0.3294600468
28	0.3285104122
29	0.3276826155
30	0.3270044052
31	0.3263785343
32	0.3256661885
33	0.3253659276
34	0.3247669995
35	0.3243503178
36	0.323741037
37	0.323108265
38	0.3218779873
39	0.321054227
40	0.3202261788
41	0.3195283291
42	0.3189160357
43	0.3179778179
44	0.3174646394
45	0.3168096684
46	0.3163826929
47	0.3154685132
48	0.3147616637
49	0.3142931665
50	0.3138792747
51	0.313675333
52	0.3129435141
53	0.3124050219
54	0.3118518528
55	0.3116335604
56	0.3111274554
57	0.3106800306
58	0.3101549416
59	0.3094507119
60	0.3086959346
61	0.3078423329
62	0.306884384
63	0.3062155736
64	0.3057268385
65	0.3050837748
66	0.3043912414
67	0.3038617264
68	0.3029533375
69	0.3022317032
70	0.3013857028
71	0.3006972454
72	0.2996229263
73	0.2985515124
74	0.2978869314
75	0.297293855
76	0.2967840832
77	0.2961336049
78	0.2954705042
79	0.2948786892
80	0.2942761639
81	0.293656956
82	0.2931977695
83	0.2927902914
84	0.2918335082
85	0.2915653958
86	0.2910354478
87	0.2906324541
88	0.2898312318
89	0.2893684289
90	0.2883169127
91	0.2871523035
92	0.2867982082
93	0.2860642229
94	0.2851798152
95	0.2847331361
96	0.2839597721
97	0.2831576467
98	0.2825267145
99	0.2819000514
100	0.2816250104
101	0.280998233
102	0.2799763737
103	0.2792376322
104	0.2784699616
105	0.2776580785
106	0.2769591315
107	0.2762828624
108	0.2756767659
109	0.2750290715
110	0.2745800911
111	0.2739297925
112	0.2733619009
113	0.2724949809
114	0.2717677193
115	0.2710004883
116	0.2700260606
117	0.2691733501
118	0.2685405765
119	0.2680544487
120	0.2674472013
121	0.2668793467
122	0.2661451729
123	0.2656063089
124	0.2650818935
125	0.2644035495
126	0.2636435664
127	0.2633465132
128	0.262678834
129	0.2615945585
130	0.2610549567
131	0.2602810139
132	0.2598503214
133	0.259356629
134	0.2587975013
135	0.2581396302
136	0.257638157
137	0.2570116808
138	0.2563406639
139	0.2557941246
140	0.255370223
141	0.2546369653
142	0.2540801472
143	0.2535374573
144	0.2529427219
145	0.25218281
146	0.2516758648
147	0.2513284045
148	0.2507282962
149	0.2503782581
150	0.24958447
151	0.2490692937
152	0.2486389564
153	0.248002192
154	0.2473647224
155	0.2466845653
156	0.2461940982
157	0.2454912517
158	0.2448080109
159	0.2442253011
160	0.2435284775
161	0.2431656771
162	0.242470363
163	0.2418950814
164	0.241187896
165	0.2405857044
166	0.2399287565
167	0.2396323285
168	0.2388725457
169	0.2383907765
170	0.237861585
171	0.2375197287
172	0.236788696
173	0.2362201976
174	0.235861309
175	0.2354536118
176	0.2349668045
177	0.2345926697
178	0.2340438829
179	0.2336619969
180	0.2332177236
181	0.2327266055
182	0.232314723
183	0.2319132764
184	0.2313397415
185	0.2308917677
186	0.2305411025
187	0.2300151089
188	0.229615153
189	0.2291033598
190	0.2287302076
191	0.2281582545
192	0.2277274382
193	0.2272124255
194	0.2267139678
195	0.2259917199
196	0.2254138217
197	0.224945549
198	0.2244314754
199	0.2240490652
200	0.2234477378
201	0.2232145192
202	0.2227392835
203	0.2224497482
204	0.2219229501
205	0.2214486489
206	0.2209172338
207	0.2204844537
208	0.2199050614
209	0.219664615
210	0.2191530535
211	0.218840137
212	0.2184247246
213	0.2177652242
214	0.2173218206
215	0.2169190627
216	0.2165182202
217	0.2159489111
218	0.2155656163
219	0.2149739137
220	0.2144436906
221	0.2141324757
222	0.213710408
223	0.2133829722
224	0.2128660522
225	0.2124169964
226	0.2121741862
227	0.2117083574
228	0.2112645659
229	0.2110591295
230	0.2106243741
231	0.2102928506
232	0.2098622061
233	0.2095017098
234	0.2091003184
235	0.2084818509
236	0.2080117277
237	0.2074583683
238	0.2070417037
239	0.2066933401
240	0.2063679969
241	0.2060026144
242	0.2055084851
243	0.2050078853
244	0.2045802578
245	0.2042341669
246	0.2038836391
247	0.2035381438
248	0.2031607994
249	0.202674917
250	0.2021460986
251	0.2016776961
252	0.2012425294
253	0.2009530376
254	0.2005811301
255	0.2001956903
256	0.1997996577
257	0.1994377909
258	0.1989904083
259	0.1986213687
260	0.1982154935
261	0.197777162
262	0.1972825251
263	0.1970147853
264	0.1965647039
265	0.1962177535
266	0.1958985576
267	0.1954929772
268	0.1952127387
269	0.1946633022
270	0.1944155075
271	0.1937789333
272	0.1933750453
273	0.1930054412
274	0.1927171197
275	0.1923174471
276	0.1919688932
277	0.1917052367
278	0.1912640414
279	0.1909971735
280	0.1906398731
281	0.1901329062
282	0.1896450995
283	0.1893785195
284	0.1890304894
285	0.1887846693
286	0.1884886501
287	0.1880710271
288	0.1877002618
289	0.1873258927
290	0.186764388
291	0.1863889278
292	0.1860537665
293	0.1856546929
294	0.1852430298
295	0.1849379348
296	0.1845550118
297	0.184184856
298	0.1837578946
299	0.1831550574
300	0.182830762
301	0.1825994911
302	0.1820780603
303	0.1817237214
304	0.1814061066
305	0.181050798
306	0.1807241916
307	0.1802323451
308	0.1798854126
309	0.1794480912
310	0.179008693
311	0.1786537332
312	0.1783179385
313	0.177957855
314	0.1777284817
315	0.1773540715
316	0.1769829887
317	0.1767673133
318	0.176487568
319	0.1761813057
320	0.1759159021
321	0.1756015552
322	0.175057046
323	0.1746025336
324	0.1742286378
325	0.1738885674
326	0.1735798408
327	0.1732967001
328	0.1729298349
329	0.1726372368
330	0.1723380347
