iter	Passed	Remaining
0	4	4839
1	9	4580
2	13	4396
3	17	4348
4	20	4105
5	24	3968
6	27	3858
7	30	3757
8	33	3671
9	37	3651
10	40	3602
11	41	3402
12	45	3399
13	48	3399
14	51	3360
15	54	3341
16	57	3316
17	61	3297
18	64	3278
19	67	3278
20	70	3273
21	74	3266
22	78	3284
23	81	3276
24	84	3277
25	88	3274
26	91	3267
27	94	3258
28	97	3249
29	101	3254
30	104	3250
31	108	3244
32	111	3237
33	114	3230
34	118	3227
35	121	3219
36	124	3212
37	127	3197
38	130	3185
39	133	3177
40	136	3169
41	139	3161
42	143	3154
43	146	3150
44	149	3149
45	153	3148
46	157	3164
47	160	3155
48	163	3151
49	167	3147
50	170	3144
51	174	3145
52	177	3142
53	180	3135
54	183	3129
55	187	3125
56	191	3129
57	194	3124
58	197	3117
59	200	3113
60	203	3108
61	207	3103
62	210	3098
63	213	3092
64	216	3087
65	219	3082
66	223	3079
67	226	3073
68	229	3067
69	232	3063
70	236	3059
71	239	3052
72	242	3045
73	245	3042
74	248	3035
75	251	3030
76	254	3026
77	258	3024
78	261	3019
79	264	3016
80	268	3013
81	271	3011
82	274	3007
83	278	3002
84	281	2998
85	284	2993
86	287	2991
87	291	2991
88	294	2988
89	297	2982
90	301	2977
91	304	2974
92	307	2971
93	310	2967
94	314	2964
95	317	2960
96	320	2956
97	324	2953
98	327	2948
99	330	2944
100	333	2941
101	337	2938
102	340	2934
103	343	2930
104	346	2925
105	349	2920
106	353	2917
107	356	2913
108	359	2908
109	362	2904
110	365	2899
111	369	2896
112	372	2891
113	375	2887
114	378	2883
115	382	2882
116	385	2881
117	388	2876
118	392	2874
119	395	2870
120	398	2866
121	401	2861
122	405	2859
123	408	2855
124	411	2853
125	415	2850
126	418	2848
127	421	2843
128	425	2841
129	428	2838
130	432	2836
131	435	2835
132	439	2835
133	443	2833
134	446	2829
135	449	2825
136	452	2820
137	455	2817
138	459	2815
139	462	2810
140	465	2806
141	468	2803
142	472	2801
143	475	2797
144	479	2794
145	482	2791
146	485	2788
147	489	2785
148	492	2781
149	495	2778
150	498	2774
151	502	2771
152	505	2767
153	508	2765
154	512	2762
155	515	2760
156	519	2757
157	522	2754
158	525	2750
159	529	2748
160	532	2745
161	535	2741
162	539	2739
163	542	2736
164	546	2733
165	549	2730
166	552	2727
167	556	2724
168	559	2720
169	562	2718
170	566	2714
171	569	2710
172	572	2706
173	576	2707
174	579	2703
175	583	2700
176	586	2696
177	589	2693
178	593	2690
179	596	2686
180	599	2682
181	603	2680
182	606	2677
183	609	2674
184	612	2670
185	616	2667
186	619	2663
187	623	2662
188	626	2659
189	630	2656
190	633	2652
191	636	2650
192	640	2647
193	643	2643
194	647	2642
195	650	2640
196	654	2636
197	657	2633
198	661	2631
199	664	2628
200	667	2625
201	670	2620
202	674	2618
203	677	2614
204	680	2610
205	684	2606
206	687	2603
207	690	2599
208	693	2595
209	696	2592
210	700	2588
211	703	2584
212	707	2582
213	710	2580
214	714	2577
215	717	2574
216	720	2570
217	723	2566
218	727	2563
219	730	2559
220	733	2555
221	736	2552
222	740	2548
223	743	2546
224	746	2542
225	749	2538
226	753	2535
227	756	2532
228	760	2529
229	763	2526
230	766	2523
231	770	2519
232	773	2516
233	776	2513
234	780	2510
235	783	2507
236	788	2507
237	791	2503
238	794	2499
239	797	2496
240	801	2494
241	804	2490
242	808	2487
243	811	2485
244	815	2482
245	818	2479
246	821	2475
247	825	2472
248	828	2468
249	831	2465
250	835	2462
251	838	2458
252	841	2455
253	844	2451
