1* Populacao:
Cromossomo: [6, 0, 1, 31] -> Acuracia: 96.9%, Precisao: 99.3%, Recall: 79.7%, Media: 91.1%
Cromossomo: [2, 0, 1, 63] -> Acuracia: 98.2%, Precisao: 99.3%, Recall: 88.6%, Media: 95.1%
Cromossomo: [3, 0, 2, 48] -> Acuracia: 95.2%, Precisao: 88.6%, Recall: 77.7%, Media: 86.6%
Cromossomo: [29, 0, 2, 14] -> Acuracia: 86.7%, Precisao: 85.8%, Recall: 11.7%, Media: 27.6%
Cromossomo: [11, 0, 2, 77] -> Acuracia: 89.9%, Precisao: 88.9%, Recall: 35.9%, Media: 59.7%
Cromossomo: [14, 1, 2, 82] -> Acuracia: 91.0%, Precisao: 94.4%, Recall: 41.4%, Media: 65.6%
Cromossomo: [18, 0, 1, 62] -> Acuracia: 91.0%, Precisao: 99.0%, Recall: 39.5%, Media: 64.6%
Cromossomo: [15, 1, 0, 62] -> Acuracia: 90.7%, Precisao: 94.8%, Recall: 38.9%, Media: 63.5%
Cromossomo: [12, 1, 0, 70] -> Acuracia: 91.8%, Precisao: 94.3%, Recall: 47.4%, Media: 70.4%
Cromossomo: [26, 0, 0, 51] -> Acuracia: 86.7%, Precisao: 87.5%, Recall: 11.7%, Media: 27.7%

Melhor Cromossomo: [2, 0, 1, 63] -> Acuracia: 98.2%, Precisao: 99.3%, Recall: 88.6%, Media: 95.1%

2* Populacao:
Cromossomo: [14, 0, 2, 82] -> Acuracia: 92.8%, Precisao: 90.8%, Recall: 23.2%, Media: 45.8%
Cromossomo: [14, 0, 1, 31] -> Acuracia: 96.9%, Precisao: 99.1%, Recall: 51.9%, Media: 74.7%
Cromossomo: [12, 1, 0, 40] -> Acuracia: 96.5%, Precisao: 94.3%, Recall: 47.4%, Media: 70.4%
Cromossomo: [2, 1, 0, 70] -> Acuracia: 96.5%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [12, 1, 2, 47] -> Acuracia: 96.5%, Precisao: 94.3%, Recall: 47.4%, Media: 70.4%
Cromossomo: [2, 1, 0, 70] -> Acuracia: 96.5%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [2, 1, 0, 21] -> Acuracia: 94.1%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [7, 1, 2, 40] -> Acuracia: 92.2%, Precisao: 92.7%, Recall: 65.0%, Media: 81.5%
Cromossomo: [3, 0, 2, 90] -> Acuracia: 92.2%, Precisao: 88.6%, Recall: 77.7%, Media: 86.6%
Cromossomo: [7, 0, 2, 13] -> Acuracia: 95.2%, Precisao: 89.2%, Recall: 53.9%, Media: 73.9%

Melhor Cromossomo: [2, 0, 1, 63] -> Acuracia: 98.2%, Precisao: 99.3%, Recall: 88.6%, Media: 95.1%

3* Populacao:
Cromossomo: [7, 0, 1, 40] -> Acuracia: 92.2%, Precisao: 98.3%, Recall: 82.8%, Media: 92.2%
Cromossomo: [7, 0, 2, 86] -> Acuracia: 92.2%, Precisao: 89.2%, Recall: 53.9%, Media: 73.9%
Cromossomo: [7, 1, 2, 86] -> Acuracia: 96.5%, Precisao: 92.7%, Recall: 65.0%, Media: 81.5%
Cromossomo: [2, 1, 2, 70] -> Acuracia: 91.9%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [2, 1, 2, 70] -> Acuracia: 95.2%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [3, 0, 0, 90] -> Acuracia: 92.2%, Precisao: 88.6%, Recall: 77.7%, Media: 86.6%
Cromossomo: [2, 1, 0, 86] -> Acuracia: 98.1%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [7, 1, 1, 12] -> Acuracia: 96.5%, Precisao: 98.9%, Recall: 88.3%, Media: 94.8%
Cromossomo: [3, 0, 2, 90] -> Acuracia: 89.1%, Precisao: 88.6%, Recall: 77.7%, Media: 86.6%
Cromossomo: [13, 0, 2, 31] -> Acuracia: 96.9%, Precisao: 88.5%, Recall: 30.2%, Media: 53.9%

Melhor Cromossomo: [2, 0, 1, 63] -> Acuracia: 98.2%, Precisao: 99.3%, Recall: 88.6%, Media: 95.1%

4* Populacao:
Cromossomo: [7, 0, 1, 40] -> Acuracia: 95.6%, Precisao: 98.3%, Recall: 82.8%, Media: 92.2%
Cromossomo: [3, 1, 0, 26] -> Acuracia: 92.2%, Precisao: 89.4%, Recall: 79.5%, Media: 87.7%
Cromossomo: [2, 1, 1, 24] -> Acuracia: 88.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [23, 1, 2, 15] -> Acuracia: 95.2%, Precisao: 94.8%, Recall: 25.3%, Media: 48.9%
Cromossomo: [2, 1, 0, 86] -> Acuracia: 95.2%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [2, 0, 2, 30] -> Acuracia: 98.1%, Precisao: 96.0%, Recall: 70.7%, Media: 85.6%
Cromossomo: [2, 1, 1, 40] -> Acuracia: 91.3%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [13, 1, 2, 12] -> Acuracia: 91.9%, Precisao: 94.2%, Recall: 44.1%, Media: 67.8%
Cromossomo: [3, 0, 1, 90] -> Acuracia: 91.8%, Precisao: 97.4%, Recall: 92.1%, Media: 95.9%
Cromossomo: [12, 1, 0, 14] -> Acuracia: 92.2%, Precisao: 94.3%, Recall: 47.4%, Media: 70.4%

Melhor Cromossomo: [2, 1, 1, 24] -> Acuracia: 88.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%

5* Populacao:
Cromossomo: [2, 1, 1, 86] -> Acuracia: 95.2%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [3, 0, 0, 90] -> Acuracia: 95.2%, Precisao: 88.6%, Recall: 77.7%, Media: 86.6%
Cromossomo: [7, 0, 1, 65] -> Acuracia: 91.3%, Precisao: 98.3%, Recall: 82.8%, Media: 92.2%
Cromossomo: [13, 1, 2, 40] -> Acuracia: 95.6%, Precisao: 94.2%, Recall: 44.1%, Media: 67.8%
