1* Populacao:
Cromossomo: [1336, 0.0832, 45, 9, 0.6723, 0.6053, 18, 0.231, 0.3999] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [989, 0.1948, 53, 6, 0.9114, 0.7311, 28, 1.7524, 0.2946] -> Acuracia: 80.0%, Precisao: 83.3%, Recall: 80.0%, Performance: 81.1%
Cromossomo: [989, 0.1948, 45, 6, 0.9114, 0.7311, 28, 0.231, 0.3999] -> Acuracia: 82.2%, Precisao: 84.0%, Recall: 84.0%, Performance: 83.4%
Cromossomo: [791, 0.0832, 53, 9, 0.6723, 0.6628, 18, 1.7524, 0.2946] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%
Cromossomo: [957, 0.1959, 19, 4, 0.7401, 0.951, 26, 1.7675, 2.1003] -> Acuracia: 75.6%, Precisao: 81.8%, Recall: 72.0%, Performance: 76.5%
Cromossomo: [1023, 0.1445, 38, 3, 0.5015, 0.7087, 14, 2.262, 2.3811] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [1023, 0.1959, 38, 9, 0.5015, 0.7311, 14, 1.7524, 2.7679] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [791, 0.1948, 47, 3, 0.9114, 0.7087, 28, 2.262, 0.2946] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%
Cromossomo: [957, 0.0832, 19, 4, 0.7401, 0.951, 26, 0.231, 0.3999] -> Acuracia: 77.8%, Precisao: 82.6%, Recall: 76.0%, Performance: 78.8%
Cromossomo: [989, 0.0236, 45, 6, 0.6723, 0.6053, 6, 1.5663, 2.7657] -> Acuracia: 73.3%, Precisao: 78.3%, Recall: 72.0%, Performance: 74.5%

Melhor Cromossomo: [1336, 0.0832, 45, 9, 0.6723, 0.6053, 18, 0.231, 0.3999] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%

2* Populacao:
Cromossomo: [989, 0.1959, 38, 7, 0.5015, 0.7311, 14, 1.7524, 0.2946] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1023, 0.1948, 53, 6, 0.9114, 0.7311, 28, 1.7524, 2.7679] -> Acuracia: 77.8%, Precisao: 82.6%, Recall: 76.0%, Performance: 78.8%
Cromossomo: [989, 0.0832, 53, 9, 0.9114, 0.7311, 23, 1.7524, 0.2946] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [812, 0.1948, 53, 6, 0.6723, 0.7264, 28, 1.7524, 0.2946] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%
Cromossomo: [1023, 0.1445, 20, 9, 0.5015, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%
Cromossomo: [1336, 0.0832, 40, 3, 0.6723, 0.6053, 18, 2.262, 2.3811] -> Acuracia: 73.3%, Precisao: 78.3%, Recall: 72.0%, Performance: 74.5%
Cromossomo: [989, 0.1959, 27, 9, 0.9114, 0.7311, 14, 1.7524, 2.7679] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [1023, 0.1948, 53, 6, 0.5015, 0.7311, 28, 1.7524, 0.2946] -> Acuracia: 80.0%, Precisao: 83.3%, Recall: 80.0%, Performance: 81.1%
Cromossomo: [798, 0.1948, 53, 6, 0.9114, 0.7311, 28, 0.231, 0.3999] -> Acuracia: 82.2%, Precisao: 84.0%, Recall: 84.0%, Performance: 83.4%
Cromossomo: [989, 0.1107, 45, 6, 0.9114, 0.7311, 28, 1.7524, 0.2946] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%

Melhor Cromossomo: [1023, 0.1445, 20, 9, 0.5015, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%

3* Populacao:
Cromossomo: [989, 0.1107, 25, 6, 0.949, 0.7311, 25, 1.7524, 0.2946] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%
