1* Populacao:
Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [1.6714, 370, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [9.1505, 372, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9952, 164, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.801, 321, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [1.9829, 443, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 328, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [2.8368, 279, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2137, 310, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.7559, 365, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

2* Populacao:
Genes: [8.801, 288, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.2419, 434, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 159, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [2.8368, 328, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.2419, 311, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [9.1505, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [9.1505, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.2419, 372, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2137, 321, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.801, 310, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

3* Populacao:
Genes: [7.7062, 159, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [9.1505, 275, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.2419, 434, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.3949, 476, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 372, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.5423, 207, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2137, 275, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [2.8368, 270, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [9.1505, 275, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

4* Populacao:
Genes: [8.3949, 207, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.5423, 476, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 372, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.2419, 434, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 372, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.5423, 207, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [1.6454, 207, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.5423, 434, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.7062, 394, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.2419, 434, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

5* Populacao:
Genes: [6.1308, 464, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [2.6385, 372, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.1%, Media: 67.8%
Genes: [1.6454, 207, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.5423, 476, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 207, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [1.6454, 372, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.5423, 434, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.2419, 207, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 434, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2042, 372, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

6* Populacao:
Genes: [8.9172, 434, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.5423, 207, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [6.1308, 464, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.2419, 207, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.5423, 372, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [2.6385, 236, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 207, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 260, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.1%, Media: 67.8%
Genes: [4.2042, 307, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 434, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

7* Populacao:
Genes: [5.6906, 125, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.6281, 372, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [6.0925, 207, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 434, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 434, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 207, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 450, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
